,word1,word2,prediction
0,abandon,frost,0.48002632730165523
1,abandon,railroad,0.5199761308321953
2,abortion,religion,0.3812906615039673
3,abstract,candle,0.3812944349026257
4,abstract,frog,0.3122463608464837
5,abstract,moon,0.2694614254863168
6,abstract,rally,0.3718429768508526
7,abuse,abuse,0.7141921382379112
8,abuse,disorder,0.49219089331140886
9,accommodate,adjust,0.4105005392084837
10,accommodation,accommodation,0.5949446756523082
11,accompany,walking,0.46135711275595825
12,account,explanation,0.5333856362137313
13,account,invoice,0.6525364445266042
14,act,improvement,0.17021148377156597
15,action,adjustment,0.6441381976656366
16,action,entrance,0.3349393254988287
17,activity,solo,0.7030281175911147
18,activity,variation,0.3960806346526541
19,actor,amateur,0.6006304011076199
20,ad,track,0.7402623085831318
21,add,increased,0.2892006621865523
22,add,string,0.01888714815924944
23,addition,segment,0.5654603296530074
24,admitting,confess,0.48006839501677673
25,adult,dentist,0.34170537827795994
26,advance,advance,0.3809968113580351
27,advance,string,0.2656427140548978
28,advice,recommendation,0.48853040462356295
29,advised,murder,0.21373538703756045
30,aerial,clown,0.3866661981338577
31,africa,territory,0.36203200471793456
32,age,history,0.29405059600258365
33,agency,police,0.5205316870119132
34,aim,intending,0.2888041229196938
35,air,cold,0.39696885440027496
36,air,plasma,0.4587226548807539
37,air,satellite,0.33543087131436206
38,aircraft,fleet,0.909585027723202
39,aircraft,flight,0.9283933059262375
40,aircraft,yacht,0.6008495500360468
41,airplane,plane,0.7934587210593507
42,ale,bitter,0.37813972216194586
43,alley,street,0.6478972537292385
44,aluminum,component,0.6169026072614093
45,aluminum,imperative,0.5343848209119402
46,american,lobster,0.22601448674389277
47,ammunition,intolerable,0.5991506289079198
48,amount,number,0.7118788036279453
49,amounted,make,0.3601254589091668
50,amusement,athletics,0.5496469466168303
51,amusement,procedure,0.3174087865475414
52,anatomy,palm,0.4528115659715929
53,ancient,city,0.5668077624911212
54,angel,asphalt,0.3173412477668955
55,angel,pod,0.2036003019146776
56,angrier,stormy,0.5011626790955184
57,animal,asia,0.34402978590341415
58,animal,flora,0.4160995557925591
59,animal,giraffe,0.5350643769323742
60,animal,mural,0.1742256275870107
61,animal,wild,0.2690916397701109
62,animal,worm,0.3615202610830401
63,animal,zoo,0.6864508005435157
64,anniversary,marriage,0.6137236396236726
65,answering,counter,0.28242110162453377
66,anxiety,insecurities,0.5911212583672114
67,apartment,staircase,0.5800717544054214
68,appliance,dryer,0.41365172838024766
69,appreciate,see,0.8139052904223715
70,approach,avenue,0.2765130018804448
71,approach,merit,0.47776288463035305
72,approach,trench,0.3255705919158654
73,approval,encouragement,0.5322701569758301
74,approving,interaction,0.3428586801578025
75,aquarium,coin,0.4112270546248935
76,arch,brick,0.5159506118463667
77,arch,roof,0.35344010769416045
78,architecture,urban,0.7020843339344427
79,area,space,0.3185385852977211
80,argument,evidence,0.08040602104575756
81,arm,bicycle,0.48225773982112097
82,arm,television,0.521248714976018
83,arrange,discard,0.39003994133479003
